1996	38667	1
1997	54622	3
2010	33157	3
2004	58886	2
2006	30000	1
2004	40000	2
2008	85648	1
1987	46252	3
2007	39474	2
1999	44330	1
1988	53605	3
2012	64972	3
1992	51631	3
2012	39760	2
2000	42668	1
2000	34035	1
1997	58570	2
1992	69048	1
2009	28948	1
2005	60327	2
2001	51429	2
1997	58566	3
1989	54930	3
1985	57094	2
1998	58475	2
1990	49587	1
1990	68074	1
2000	59804	3
2012	56116	1
2008	50000	2
1993	51680	3
2000	62500	1
2013	69588	1
2011	43732	1
2008	79110	1
2011	23914	1
2000	48542	2
1982	65378	1
2009	37268	2
1998	48984	1
2010	74713	2
1996	37038	1
1990	49796	1
2004	52632	3
2009	32928	1
2000	32259	1
2003	55000	1
2007	55556	3
2006	69481	1
1990	53247	2
1995	61744	3
2003	66764	2
1986	48238	1
2002	59366	3
1988	68868	2
2007	55817	1
2000	51516	3
1996	63861	3
1998	45880	3
2009	40450	3
2000	93334	1
1987	41605	2
1998	51547	2
2002	53567	2
2000	33334	2
1998	52273	2
2009	56044	2
2005	38027	1
1988	60847	1
2014	45491	1
2011	36193	3
2005	55408	1
2004	46992	1
2005	93976	1
2010	75119	2
2000	60256	1
2003	37138	2
2005	32988	2
2005	32845	2
1986	59678	3
2002	37500	1
1983	62197	3
2002	42687	1
2004	34671	1
2003	71304	1
1998	36981	2
2003	38890	2
1994	28847	3
1976	115045	2
2009	63433	1
2000	46429	1
1998	41561	3
1995	46233	1
1991	62687	1
1998	57417	1
1998	44264	2
2008	32807	2
2002	43263	3
2000	49203	2
2003	43052	3
1988	55358	2
1998	54485	2
1996	48007	2
2007	59260	3
2003	29795	3
1980	49719	2
1999	45939	1
1998	48125	3
1998	47541	3
1992	42415	1
1996	42014	1
2013	54688	1
2009	46890	1
1998	38462	2
2011	64172	1
2004	48612	3
1991	44546	1
1995	38654	3
1999	45560	2
2004	34197	2
1990	58837	2
1994	79873	3
2000	35866	1
2006	70708	3
2007	35972	1
2007	39709	1
2002	31202	1
1980	75790	1
2000	36510	2
2004	98361	3
2006	61539	2
1988	48479	3
2003	88249	2
2009	19355	3
2005	72127	1
1999	57403	3
2005	70313	2
2007	38555	2
2001	58253	1
2004	46135	1
2008	29023	3
2000	50258	3
2004	66751	1
2007	35000	2
2009	19015	1
2000	30000	1
2004	56324	1
2006	43148	1
2004	33430	2
1999	39003	1
2002	64383	1
2004	49690	2
2004	60647	1
2004	71634	1
2001	41892	2
1989	52932	3
1998	40831	3
2000	63009	2
2001	69566	1
1985	54467	3
2006	78791	1
2000	36091	3
2002	36582	1
1981	60295	1
1992	80000	2
2003	50885	1
2004	39424	1
1992	50601	1
1986	40405	1
1996	48388	1
1995	78385	1
2009	53560	2
1985	50302	3
2000	26087	3
1980	48077	1
2001	52435	1
2013	24187	2
2000	64706	2
1998	44862	2
1986	64078	2
1983	73130	3
2004	40910	3
2000	54348	1
2007	39241	1
2009	41667	3
2005	59406	2
1990	61053	1
1990	85810	2
1992	59851	3
2000	60266	3
2003	80465	2
2013	37289	1
1996	49760	2
2004	60989	2
1998	53073	2
1991	50000	1
1995	55264	1
1999	66849	1
2010	55211	1
2008	50072	2
2009	60976	2
1991	52239	1
2003	31447	2
1996	67858	1
1989	66667	1
1982	101450	2
1983	52014	2
1990	53764	3
2010	53833	2
2003	39245	3
2000	50956	2
2003	39797	3
1998	42612	3
2004	48572	3
1996	43334	1
1995	53017	3
1998	76156	2
2005	38036	1
1980	65211	2
1990	44901	3
2008	24432	1
2009	54902	3
2010	41026	3
1992	49473	3
1999	58864	2
1999	58864	2
1992	58334	3
1985	51667	2
2007	38417	2
2010	49426	3
2011	41718	2
2004	122951	1
2005	71662	1
1998	53508	3
1990	45046	1
2004	33708	3
1995	49254	1
1995	45284	2
1990	64286	2
2010	71378	1
2006	65962	2
1994	27251	2
1980	61244	3
2001	55770	3
2000	50576	3
2004	61063	1
1986	56471	3
2004	51976	3
2009	38182	1
